title,company,location,link
[Search] 네이버 검색시스템 DevOps 신입 개발자,네이버,서울,https://kr.indeed.com/채용보기?jk=515cf3cc8bff3ed4
[보라매공원] devops container 운영 담당자 정규직,우림스탭스,서울 관악구,https://kr.indeed.com/채용보기?jk=f1f8d0c5cc93b4c0
DevOps Engineer,Toss,서울 강남구,https://kr.indeed.com/채용보기?jk=5d2bbe4c649db4f4
"클라우드(기획,Public/Private/하이브리트 아키텍트,DevOps, 운영관리, 체계기획 담당 전문인력",코어포인트,서울 중구,https://kr.indeed.com/채용보기?jk=9e0542ce0905fb2d
[코그넥스] DevOps 엔지니어,코그넥스코리아,서울 서초구,https://kr.indeed.com/채용보기?jk=4a49cb602e239b81
DevOps Engineer,IBM,서울,https://kr.indeed.com/채용보기?jk=e3255317be142a19
DevOps Developer,IBM,서울,https://kr.indeed.com/채용보기?jk=0b9b89d4aca5a012
[Garage] DevOps Developer,IBM,서울,https://kr.indeed.com/채용보기?jk=32992868b4cc5396
[XTRM] DevOps Engineer,PUBG,서울,https://kr.indeed.com/채용보기?jk=9f07afb3f576d784
금융디지털분야(비대면채널 및 챗봇/콜봇) 경력,LG CNS,서울특별시,https://kr.indeed.com/채용보기?jk=dd6dae4bd7641358
DevOps Engineer,Soomgo,서울 강남구,https://kr.indeed.com/채용보기?jk=011806f0e8a599fb
(주)신세계아이앤씨 경력사원 상시,신세계아이앤씨,서울 중구,https://kr.indeed.com/채용보기?jk=b5b88516a299bbb2
[카카오커머스] 기술직군,카카오커머스,성남 분당구,https://kr.indeed.com/채용보기?jk=52f8fb3f7e662c5d
[이마트] 이마트 앱 개발/운영 경력직 모집,신세계,대한민국,https://kr.indeed.com/채용보기?jk=a3a6b3f75fd0b9fe
블록체인 노드 DevOps(구축 및 운영) 담당자 (경력),네오위즈,대한민국,https://kr.indeed.com/채용보기?jk=6b65e8aeb42661de
DevOps Consultant,Amazon Web Services Korea LLC,서울,https://kr.indeed.com/채용보기?jk=baa72dec6174ae13
DevOps Leader,IBM,서울,https://kr.indeed.com/채용보기?jk=cc7dd528ac5acfac
[공통기술부문] SRE 엔지니어(DevOps),우아한 형제들,서울 송파구,https://kr.indeed.com/채용보기?jk=7f47fc1d202dd11c
[경력] IT-아키텍처연구팀(DevOps),빗썸코리아,서울 강남구,https://kr.indeed.com/채용보기?jk=c36cb9a60f153409
[IT 대기업] DEVOPS 엔지니어(ADLM 솔루션) 운영경력 담당자 (container 운영경력자),열린엠시스템,서울 동작구,https://kr.indeed.com/채용보기?jk=d855e037942c1240
AI/빅데이터/클라우드 분야 (인재 Pool),LG유플러스,서울,https://kr.indeed.com/채용보기?jk=be95b5718905880f
사내 정보 시스템 Devops Engineeer 모집,엔씨소프트,성남 판교역,https://kr.indeed.com/채용보기?jk=442f4f8fc0d311bd
Developer / Designer recruit,마이뮤직테이스트,서울 논현동,https://kr.indeed.com/채용보기?jk=55a19c92c845685e
[카카오 클라우드] 컨테이너 클라우드 개발자 모집,카카오,성남 판교역,https://kr.indeed.com/채용보기?jk=c58df1061d490778
Services Line Representative,IBM,서울,https://kr.indeed.com/채용보기?jk=f64ad2375a5f3238
(주)풀무원 온라인 쇼핑몰 개발자 채용,풀무원,서울특별시,https://kr.indeed.com/채용보기?jk=8452ac8cd29eacbc
협업도구개발팀 - 웹 프로그래머,Nexon,성남 분당구,https://kr.indeed.com/채용보기?jk=399dcbca2aab4049
KOR High Tech Industry Value Consultant,Dassault Systèmes,서울,https://kr.indeed.com/채용보기?jk=36555f411d804cb7
